b_co,h_02,b_ci,h_i,r_i1,h_ci,b_i,Abi,case,error
0,288,0,100,50,0,100,0,0,
0,238,0,100,50,0,100,0,0,
0,288,0,135,67.5,0,135,0,0,
0,288,0,100,50,0,100,0,0,
0,238,0,100,50,0,100,0,0,
0,530.48,0,418,209,0,418,0,0,
0,530.48,0,449,224.5,0,449,0,0,
0,530.48,0,477,238.5,0,477,0,0,
0,530.48,0,418,209,0,418,0,0,
0,530.48,0,449,224.5,0,449,0,0,
0,530.48,0,477,238.5,0,477,0,0,
0,526.74,0,420,210,0,420,0,0,
0,526.74,0,448,224,0,448,0,0,
0,526.74,0,473,236.5,0,473,0,0,
0,159.44,0,89,44.5,0,89,0,0,
0,159.44,0,114,57,0,114,0,0,
0,159.44,0,140,70,0,140,0,0,
0,214.1,0,114,57,0,114,0,0,
0,214.1,0,140,70,0,140,0,0,
0,214.1,0,165,82.5,0,165,0,0,
0,267.66,0,140,70,0,140,0,0,
0,267.66,0,165,82.5,0,165,0,0,
0,157.8,0,42.7,21.35,0,42.7,0,0,
0,157.8,0,42.7,21.35,0,42.7,0,0,
0,157.8,0,42.7,21.35,0,42.7,0,0,
0,157.8,0,76.3,38.15,0,76.3,0,0,
0,157.8,0,76.3,38.15,0,76.3,0,0,
0,157.8,0,76.3,38.15,0,76.3,0,0,
0,153.2,0,76.3,38.15,0,76.3,0,0,
0,153.2,0,76.3,38.15,0,76.3,0,0,
0,153.2,0,76.3,38.15,0,76.3,0,0,
0,157.8,0,76.3,38.15,0,76.3,0,0,
0,153.2,0,76.3,38.15,0,76.3,0,0,
0,153.2,0,76.3,38.15,0,76.3,0,0,
0,134,0,48,24,0,48,0,0,
0,134,0,58,29,0,58,0,0,
0,130,0,68,34,0,68,0,0,
0,130,0,78,39,0,78,0,0,
0,174,0,48,24,0,48,0,0,
0,174,0,58,29,0,58,0,0,
0,170,0,68,34,0,68,0,0,
0,170,0,78,39,0,78,0,0,
0,195,0,76,38,0,76,0,0,
0,195,0,114,57,0,114,0,0,
0,191,0,114,57,0,114,0,0,
0,288,0,203,101.5,0,203,0,0,
0,288,0,203,101.5,0,203,0,0,
0,121,0,48,24,0,48,0,0,
0,121,0,60,30,0,60,0,0,
0,121,0,48,24,0,48,0,0,
0,121,0,60,30,0,60,0,0,
0,134,0,48,24,0,48,0,0,
0,132,0,76,38,0,76,0,0,
0,132,0,76,38,0,76,0,0,
0,176,0,35.2,17.6,0,35.2,0,0,
0,176,0,52.8,26.4,0,52.8,0,0,
0,176,0,70.4,35.2,0,70.4,0,0,
0,176,0,88,44,0,88,0,0,
0,176,0,105.6,52.8,0,105.6,0,0,
0,176,0,123.2,61.6,0,123.2,0,0,
0,176,0,140.8,70.4,0,140.8,0,0,
0,174,0,52.2,26.1,0,52.2,0,0,
0,174,0,52.2,26.1,0,52.2,0,0,
0,174,0,52.2,26.1,0,52.2,0,0,
0,174,0,52.2,26.1,0,52.2,0,0,
0,174,0,52.2,26.1,0,52.2,0,0,
0,174,0,52.2,26.1,0,52.2,0,0,
0,174,0,52.2,26.1,0,52.2,0,0,
0,174,0,69.6,34.8,0,69.6,0,0,
0,174,0,69.6,34.8,0,69.6,0,0,
0,174,0,69.6,34.8,0,69.6,0,0,
0,174,0,69.6,34.8,0,69.6,0,0,
0,174,0,69.6,34.8,0,69.6,0,0,
0,174,0,69.6,34.8,0,69.6,0,0,
0,174,0,69.6,34.8,0,69.6,0,0,
0,174,0,69.6,34.8,0,69.6,0,0,
0,168,0,34.8,17.4,0,34.8,0,0,
0,168,0,34.8,17.4,0,34.8,0,0,
0,168,0,34.8,17.4,0,34.8,0,0,
0,168,0,34.8,17.4,0,34.8,0,0,
0,168,0,34.8,17.4,0,34.8,0,0,
0,168,0,34.8,17.4,0,34.8,0,0,
0,394,0,334,167,0,334,0,0,
0,394,0,334,167,0,334,0,0,
0,394,0,334,167,0,334,0,0,
0,394,0,334,167,0,334,0,0,
0,394,0,334,167,0,334,0,0,
87.96,87.96,0,48.5,24.25,0,48.5,1289.4936,0,
92.14,92.14,0,48.5,24.25,0,48.5,1414.963267,0,
94.1,94.1,0,48.5,24.25,0,48.5,1475.801667,0,
96.06,96.06,0,48.5,24.25,0,48.5,1537.9206,0,
94,94,0,48.5,24.25,0,48.5,1472.666667,0,
96.06,96.06,0,48.5,24.25,0,48.5,1537.9206,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
